route_id,name,source_subject,source_domain,discipline_refined,module_refined,upper_concept_refined,sub_concept_refined,node_type,first_order_relation_type,exception_flag_refined,review_reason,exception_gap,content
auto_neuron_FinEval_Accounting_neurons_management_accounting_33,企业破产清算时，下面哪一个选项不包括在编制的清算财务报表之中。,FinEval_Accounting,management_accounting,会计学大类,经济法,破产法,破产程序与管理人,concept,contrast,,,negative_question_guard_missing,企业破产清算时，下面哪一个选项不包括在编制的清算财务报表之中。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_auditing_2,通常在判断是否需要利用专家的工作时，一个注册会计师不需考虑的因素是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,procedure,question_peer,,,multi_number_anchor_guard_missing|standard_vs_exam_conflict_guard_missing,通常在判断是否需要利用专家的工作时，一个注册会计师不需考虑的因素是____。 答案:C. 解析:1. 出具审计报告的时间要求，与是否利用专家没有关系。在确定是否利用专家的工作时，注册会计师可能考虑的因素：管理层在编制财务报表时是否利用了管理层的专家的工作。2. 事项的性质和重要性，包括复杂程度。3. 事项存在的重大错报风险。4. 应对识别出的风险的预期程序的性质，包括注册会计师对与这些事项相关的专家工作的了解和具有的经验，以及是否可以获得替代性的审计证据。
auto_neuron_FinEval_Accounting_neurons_auditing_5,下列不属于公众利益实体的是____。,FinEval_Accounting,auditing,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,contrast,,,negative_question_guard_missing,下列不属于公众利益实体的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_auditing_6,A会计师事务所在2018年10月1E开始承担了ABC有限责任公司2018年度财务报告的审计任务。经过完成审计工作，该事务所在2019年3月10日发布了审计报告。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,concept,same_domain,,,multi_number_anchor_guard_missing,A会计师事务所在2018年10月1E开始承担了ABC有限责任公司2018年度财务报告的审计任务。经过完成审计工作，该事务所在2019年3月10日发布了审计报告。请问，该审计业务的业务期间是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_auditing_7,注册会计师在尽职调查被审计单位时错误的是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,concept,contrast,,,negative_question_guard_missing,注册会计师在尽职调查被审计单位时错误的是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_auditing_8,甲公司是上市公司，同时是乙会计师事务所的常年审计客户，自2012年到2016年，王某都是该审计项目的项目合伙人，2017年乙会计师事务所继续审计甲公司，则以下有,FinEval_Accounting,auditing,会计学大类,经济法,证券法律制度,发行交易与信息披露,regulation_or_standard,regulation_peer,,,multi_number_anchor_guard_missing,甲公司是上市公司，同时是乙会计师事务所的常年审计客户，自2012年到2016年，王某都是该审计项目的项目合伙人，2017年乙会计师事务所继续审计甲公司，则以下有关说法中恰当的是____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_auditing_12,以下关于注册会计师针对“回函可靠性”的叙述中，不正确的是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,concept,contrast,,,negative_question_guard_missing,以下关于注册会计师针对“回函可靠性”的叙述中，不正确的是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_auditing_14,下列关于选取测试项目的方法的说法中，错误的是____。,FinEval_Accounting,auditing,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,下列关于选取测试项目的方法的说法中，错误的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_auditing_15,关于注册会计师实施进一步审计程序的时间，下列表述不正确的是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,procedure,question_peer|contrast,,,negative_question_guard_missing,关于注册会计师实施进一步审计程序的时间，下列表述不正确的是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_auditing_16,注册会计师为了得出审计结论，形成审计意见而使用的所有信息，包括编制财务报表依据的会计信息和其他信息。如果注册会计师已获取有关控制在期中运行有效的审计证据，下列有,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,注册会计师为了得出审计结论，形成审计意见而使用的所有信息，包括编制财务报表依据的会计信息和其他信息。如果注册会计师已获取有关控制在期中运行有效的审计证据，下列有关剩余期间补充证据的说法中，不正确的是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_auditing_17,自动控制能为企业带来的好处不包括____。,FinEval_Accounting,auditing,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,contrast,,,negative_question_guard_missing,自动控制能为企业带来的好处不包括____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_auditing_19,信息技术应用于审计时不正确的是____。,FinEval_Accounting,auditing,会计学大类,信息技术,计算机基础,算法与系统,concept,contrast,,,negative_question_guard_missing,信息技术应用于审计时不正确的是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_auditing_21,下列有关审计工作底稿的阐述中，错误的是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,concept,contrast,,,negative_question_guard_missing,下列有关审计工作底稿的阐述中，错误的是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_auditing_22,审计工作底稿有多种要求，就其底稿格式、要素和范围的表述，不正确的是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,concept,contrast,,,negative_question_guard_missing,审计工作底稿有多种要求，就其底稿格式、要素和范围的表述，不正确的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_auditing_23,下列关于识别特征的说法中，不正确的一项是____。,FinEval_Accounting,auditing,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,下列关于识别特征的说法中，不正确的一项是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_auditing_27,注册会计师在进行风险评估时，通常采用的审计程序是____。,FinEval_Accounting,auditing,会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,procedure,question_peer,,,standard_vs_exam_conflict_guard_missing,注册会计师在进行风险评估时，通常采用的审计程序是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_auditing_29,针对财务报表层次重大错报风险的总体应对措施不包括的是____。,FinEval_Accounting,auditing,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,contrast,,,negative_question_guard_missing,针对财务报表层次重大错报风险的总体应对措施不包括的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_financial_management_1,甲公司2013年的税后利润为1200万元，而2013年年初未分配利润为200万元。根据公司的政策，公司将按照10$%$的比例提取法定盈余公积。预计在2014年，,FinEval_Accounting,financial_management,会计学大类,投资学,资产定价,风险收益与估值,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,甲公司2013年的税后利润为1200万元，而2013年年初未分配利润为200万元。根据公司的政策，公司将按照10$%$的比例提取法定盈余公积。预计在2014年，公司需要新增投资资本600万元。公司的目标资本结构为债务占总资本的3/7。根据公司的剩余股利分配政策，2013年可分配的现金股利金额为____万元。 答案:B. 解析:1. 2013年利润留存＝600×70$\%$＝420（万元），股利分配＝1200－420＝780（万元）。
auto_neuron_FinEval_Accounting_neurons_financial_management_2,A企业正在制定某模具的标准成本。加工一件该模具需要的必不可少的加工操作时间为30小时，设备调整时间为2小时，必要的工间休息时间为3小时。正常的废品率为2$\%$,FinEval_Accounting,financial_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,regulation_or_standard,regulation_peer|prerequisite,,,multi_number_anchor_guard_missing,A企业正在制定某模具的标准成本。加工一件该模具需要的必不可少的加工操作时间为30小时，设备调整时间为2小时，必要的工间休息时间为3小时。正常的废品率为2$\%$。该模具的直接人工标准工时是____小时。 答案:B. 解析:1. 标准工时是指在现有生产技术条件下，生产单位产品所需要的时间，包括直接加工操作必不可少的时间，以及必要的间歇和停工，如工间休息、调整设备时间、不可避免的废品耗用工时等，所以该模具的直接人工标准工时＝(30＋2＋3)/(1－2$\%$)＝35.71（小时）。
auto_neuron_FinEval_Accounting_neurons_financial_management_5,甲公司平价发行5年期的公司债券，债券票面利率为20$\%$，每半年付息一次，到期一次偿还本金。该债券的有效年利率是____。,FinEval_Accounting,financial_management,会计学大类,投资学,债券定价与久期,利率敏感性与收益率,concept,same_domain,,,multi_number_anchor_guard_missing,甲公司平价发行5年期的公司债券，债券票面利率为20$\%$，每半年付息一次，到期一次偿还本金。该债券的有效年利率是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_financial_management_8,下列关于“运用资本资产定价模型估计权益成本”的表述中，错误的是____。,FinEval_Accounting,financial_management,会计学大类,投资学,资产定价,风险收益与估值,abstraction_or_regularity,abstraction_peer|contrast,,,negative_question_guard_missing,下列关于“运用资本资产定价模型估计权益成本”的表述中，错误的是____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_financial_management_11,已知某投资项目于期初一次投入现金200万元，项目资本成本为20$\%$，项目建设期为0，项目投产后每年可以产生等额的永续现金流量。如果该项目的内含报酬率为25$,FinEval_Accounting,financial_management,会计学大类,公司金融,资本预算与资本结构,现金流与资本成本,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,已知某投资项目于期初一次投入现金200万元，项目资本成本为20$\%$，项目建设期为0，项目投产后每年可以产生等额的永续现金流量。如果该项目的内含报酬率为25$\%$，则其净现值为____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_financial_management_15,甲股票的1股看涨期权和1股看跌期权同时被售出，这两个期权的执行价格都为51元，且到期日相同。其中，看涨期权的价格为5元，看跌期权的价格为4元。如果到期日时股票的,FinEval_Accounting,financial_management,会计学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,甲股票的1股看涨期权和1股看跌期权同时被售出，这两个期权的执行价格都为51元，且到期日相同。其中，看涨期权的价格为5元，看跌期权的价格为4元。如果到期日时股票的价格为48元，那么这个投资组合的净收益是多少元？ 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_financial_management_18,甲公司每股盈利为1元，分配给股东的现金股利为2元。假设公司预计每股盈利将以6$\%$的增长率增长，同时股权资本的成本为10$\%$。在不改变股利支付率的情况下，,FinEval_Accounting,financial_management,会计学大类,投资学,资产定价,风险收益与估值,concept,same_domain,,,multi_number_anchor_guard_missing,甲公司每股盈利为1元，分配给股东的现金股利为2元。假设公司预计每股盈利将以6$\%$的增长率增长，同时股权资本的成本为10$\%$。在不改变股利支付率的情况下，预计公司市盈率为多少？ 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_financial_management_19,估值模型分为绝对估值和相对估值，下列关于相对价值估价模型适用性的说法中，不正确的是____。,FinEval_Accounting,financial_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,formula_or_calculation,formula_neighbor|contrast,,,negative_question_guard_missing,估值模型分为绝对估值和相对估值，下列关于相对价值估价模型适用性的说法中，不正确的是____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_financial_management_20,某公司2022年每股收益0.9元。每股分配现金股利0.4元。如果公司股利增长率预计为8$\%$，2022年末股价为60元，预计股利支付率不变，公司2022年的内,FinEval_Accounting,financial_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,same_domain,,,multi_number_anchor_guard_missing,某公司2022年每股收益0.9元。每股分配现金股利0.4元。如果公司股利增长率预计为8$\%$，2022年末股价为60元，预计股利支付率不变，公司2022年的内在市盈率是____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_financial_management_24,请计算利息保障倍数，已知经营杠杆系数为5，固定成本为8万元，利息费用为1万元。,FinEval_Accounting,financial_management,会计学大类,财务会计,收入费用利润,确认与期间归属,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,请计算利息保障倍数，已知经营杠杆系数为5，固定成本为8万元，利息费用为1万元。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_financial_management_28,甲公司采用配股方式进行融资。每10股配4股，配股前股价为5元。配股价为5元。如果除权日股价为4元。所有股东都参加了配股。除权日股价下跌____。,FinEval_Accounting,financial_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,same_domain,,,multi_number_anchor_guard_missing,甲公司采用配股方式进行融资。每10股配4股，配股前股价为5元。配股价为5元。如果除权日股价为4元。所有股东都参加了配股。除权日股价下跌____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_tax_law_3,某企业成立于2020 年 5 月，其财务人员于2022 年4 月为了解企业所得税优惠政策的小型微利企业认定标准，故向聘请的注册会计师咨询可享受。财务人员的下列表,FinEval_Accounting,tax_law,会计学大类,税法,企业所得税,应纳税所得额与抵免,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,某企业成立于2020 年 5 月，其财务人员于2022 年4 月为了解企业所得税优惠政策的小型微利企业认定标准，故向聘请的注册会计师咨询可享受。财务人员的下列表述中，符合税法规定的是____。 答案:C. 解析:1. 2019年1月1日小型微利企业出台了最新认定标准：第一、从事国家非限制和禁止行业; 第二、从业人数≤30人、资产总额≤5000万元、年度应纳税所得额≤300万元。从业人数，包括与企业建立劳动关系 的职工人数和企业接受的劳务派遣用工人数;从业人数和资产总额指标，应按企业全年的季度平均值确定;年度中间开业或者终止经营活动的，以其实际经营期作为一个纳税年度确定各指标值。
auto_neuron_FinEval_Accounting_neurons_tax_law_4,2023年4月，M市某烟草公司向K县某烟草种植户收购了一批烟叶，收购价为70 万元、价外补贴7万元。以下关于该笔烟叶交易涉及烟叶税征收管理的表述中，不符合税法规,FinEval_Accounting,tax_law,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,2023年4月，M市某烟草公司向K县某烟草种植户收购了一批烟叶，收购价为70 万元、价外补贴7万元。以下关于该笔烟叶交易涉及烟叶税征收管理的表述中，不符合税法规定的是____。 答案:B. 解析:1.  烟叶税的纳税人为收购烟叶的单位。2.  应纳税额=实际支付价款 × 税率 = 烟叶收购价款x (1+10%) × 税率 = 70 × (1+10%) × 20$\%$= 15.4（万元）。3.  烟叶税按月计征，纳税人应当于纳税义务发生月终了之日起15日内申报并缴纳税款。4.  烟叶税的纳税地点为烟叶收购地。
auto_neuron_FinEval_Accounting_neurons_tax_law_5,某公司进口一批货物，海关于2020年3月1日填发税款缴款书，但公司迟至3月28日才缴纳1000万元的关税。海关应征收关税滞纳金____。,FinEval_Accounting,tax_law,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,same_domain,,,multi_number_anchor_guard_missing,某公司进口一批货物，海关于2020年3月1日填发税款缴款书，但公司迟至3月28日才缴纳1000万元的关税。海关应征收关税滞纳金____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_8,位于县城的甲企业2020年5月实际缴纳增值税360万元（其中包括进口环节增值税80万元）、消费税540万元（其中包括由位于市区的乙企业代收代缴的消费税40万元）,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,concept,same_domain,,,multi_number_anchor_guard_missing,位于县城的甲企业2020年5月实际缴纳增值税360万元（其中包括进口环节增值税80万元）、消费税540万元（其中包括由位于市区的乙企业代收代缴的消费税40万元）。则甲企业本月应向所在县城税务机关缴纳的城市维护建设税为____万元。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_9,甲生产企业地处市区，2020年6月缴纳增值税40万元，当月委托位于县城的乙企业加工应税消费品，乙企业代收代缴消费税10万元。甲企业当月总计缴纳（含被代收代缴的部,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,concept,same_domain,,,multi_number_anchor_guard_missing,甲生产企业地处市区，2020年6月缴纳增值税40万元，当月委托位于县城的乙企业加工应税消费品，乙企业代收代缴消费税10万元。甲企业当月总计缴纳（含被代收代缴的部分）城建税____万元。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_15,下列是关于收入确认时间的说法，请找出不正确的一项____。,FinEval_Accounting,tax_law,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,下列是关于收入确认时间的说法，请找出不正确的一项____。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_16,某企业接受一批材料捐赠，取得捐赠方按市场价格开具的增值税专用发票注明价款9万元，增值税1.3万元；受赠方自行支付运杂费0.3万元，则该企业计入应纳税所得额的捐赠,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,某企业接受一批材料捐赠，取得捐赠方按市场价格开具的增值税专用发票注明价款9万元，增值税1.3万元；受赠方自行支付运杂费0.3万元，则该企业计入应纳税所得额的捐赠收入为____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_tax_law_19,根据《中华人民共和国消费税暂行条例》消费税税目税率附表规定，金银首饰、铂金首饰和钻石及钻石饰品5％；其他贵重首饰和珠宝玉石10％。下列关于金银首饰消费税的说法，,FinEval_Accounting,tax_law,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing|legacy_or_exam口径_guard_missing,根据《中华人民共和国消费税暂行条例》消费税税目税率附表规定，金银首饰、铂金首饰和钻石及钻石饰品5％；其他贵重首饰和珠宝玉石10％。下列关于金银首饰消费税的说法，符合现行消费税政策规定的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_tax_law_29,以下不属于税务行政诉讼原则的是____。,FinEval_Accounting,tax_law,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,abstraction_or_regularity,abstraction_peer|contrast,,,negative_question_guard_missing,以下不属于税务行政诉讼原则的是____。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_tax_law_35,某外国企业常驻代表机构从事售后服务，2018年主管税务机关对其2017年业务进行检查，发现该代表机构账簿不健全，经查收入实为600万元，决定按照最低利润率对其进,FinEval_Accounting,tax_law,会计学大类,税法,企业所得税,应纳税所得额与抵免,concept,same_domain,,,multi_number_anchor_guard_missing,某外国企业常驻代表机构从事售后服务，2018年主管税务机关对其2017年业务进行检查，发现该代表机构账簿不健全，经查收入实为600万元，决定按照最低利润率对其进行核定征收企业所得税。2017年该常驻代表机构应缴纳企业所得税____万元。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_tax_law_36,某境内公司适用的企业所得税税率为25$\%$，2018年度取得境内应纳税所得额200万元，境外分公司应纳税所得额80万元，在境外已缴纳企业所得税10万元。201,FinEval_Accounting,tax_law,会计学大类,税法,企业所得税,应纳税所得额与抵免,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,某境内公司适用的企业所得税税率为25$\%$，2018年度取得境内应纳税所得额200万元，境外分公司应纳税所得额80万元，在境外已缴纳企业所得税10万元。2018年度该公司汇总纳税时实际在我国应缴纳企业所得税____万元。 答案:D. 解析:正确选项D
auto_neuron_FinEval_Accounting_neurons_tax_law_37,某居民企业2017年来自境外A国分公司的已纳所得税因超过抵免限额尚未扣除的余额为2万元；2018年取得境内应纳税所得额180万元，来自A国分公司税后所得30万元,FinEval_Accounting,tax_law,会计学大类,税法,企业所得税,应纳税所得额与抵免,concept,same_domain,,,multi_number_anchor_guard_missing,某居民企业2017年来自境外A国分公司的已纳所得税因超过抵免限额尚未扣除的余额为2万元；2018年取得境内应纳税所得额180万元，来自A国分公司税后所得30万元，在A国已纳所得税额5万元，其在我国汇总缴纳____企业所得税。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_38,李某在2020年5月购买了一辆轿车用于个人使用，购车的价格为含增值税的219000元。此外，李某还支付了1000元的工具件和零配件含税价款，以及4000元的车辆,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,李某在2020年5月购买了一辆轿车用于个人使用，购车的价格为含增值税的219000元。此外，李某还支付了1000元的工具件和零配件含税价款，以及4000元的车辆装饰费和8000元的销售公司代收保险费等。李某支付的所有款项都有销售公司开具的普通发票。根据这些信息，求李某应缴纳的车辆购置税金额为多少元。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_tax_law_39,王某购买了一辆排量为1.8升的私家车，在2020年6月从汽车4S店支付了购车款232000元，并获得了一张含增值税的机动车销售统一发票。此外，他还支付了5000,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,concept,same_domain,,,multi_number_anchor_guard_missing,王某购买了一辆排量为1.8升的私家车，在2020年6月从汽车4S店支付了购车款232000元，并获得了一张含增值税的机动车销售统一发票。此外，他还支付了5000元的代收保险费，并获得了一张保险公司开具的票据。另外，他还支付了购买工具件价款1000元，并获得了汽车4S店开具的普通发票。请问王某还需要缴纳多少车辆购置税？ 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_tax_law_40,2020年3月，某进出口公司进口同牌号小轿车20辆，完税价格合计420万元人民币；关税税额100万元；消费税52万元；增值税75.29万元，该公司将13辆小轿车,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,2020年3月，某进出口公司进口同牌号小轿车20辆，完税价格合计420万元人民币；关税税额100万元；消费税52万元；增值税75.29万元，该公司将13辆小轿车售出，2辆奖励给优秀员工，4辆待售，1辆留本单位使用。则该公司应纳车辆购置税税额____万元。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_tax_law_41,购入一辆新型小轿车的某公民，在2020年5月支付了29万元的车款并缴纳了购置税。然而在2021年5月末，该公民因为车辆存在严重的质量问题，决定申请退货并获得了厂,FinEval_Accounting,tax_law,会计学大类,税法,车辆购置税,计税价格与退税,concept,same_domain,,,multi_number_anchor_guard_missing,购入一辆新型小轿车的某公民，在2020年5月支付了29万元的车款并缴纳了购置税。然而在2021年5月末，该公民因为车辆存在严重的质量问题，决定申请退货并获得了厂家的退款。那么，该公民可以申请退还多少万元的车辆购置税呢？ 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_tax_law_42,某人拥有两处房产，一处原值60万元的房产供自己和家人居住，另一处原值20万元的房产于2022年6月1日出租给王某居住，按市场价每月取得租金收入1000元。则此人,FinEval_Accounting,tax_law,会计学大类,税法,房产税,计税依据与税率,concept,same_domain,,,multi_number_anchor_guard_missing,某人拥有两处房产，一处原值60万元的房产供自己和家人居住，另一处原值20万元的房产于2022年6月1日出租给王某居住，按市场价每月取得租金收入1000元。则此人当年应缴纳的房产税为____。 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_tax_law_43,甲公司2020年年初房产原值为8000万元，3月与乙公司签订租赁合同，约定自2020年4月起将原值500万元房产租赁给乙公司，租期3年，月租金5万元，2020年,FinEval_Accounting,tax_law,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,甲公司2020年年初房产原值为8000万元，3月与乙公司签订租赁合同，约定自2020年4月起将原值500万元房产租赁给乙公司，租期3年，月租金5万元，2020年4～6月为免租使用期间。甲公司所在地计算房产税余值减除比例为40$\%$，甲公司2020年度应缴纳的房产税为____。（不考虑增值税的影响） 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_tax_law_44,2010年4月，某企业将其与办公楼相连的地下停车场和另一独立的地下建筑物改为地下生产车间，停车场原值200万元，地下建筑物原价300万元，该企业所在省财政和地方,FinEval_Accounting,tax_law,会计学大类,税法,房产税,计税依据与税率,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,2010年4月，某企业将其与办公楼相连的地下停车场和另一独立的地下建筑物改为地下生产车间，停车场原值200万元，地下建筑物原价300万元，该企业所在省财政和地方税务部门确定地下建筑物的房产原价的折算比例为50$\%$，房产原值减除比例为30$\%$。该企业以上两处地下建筑物2020年4月至12月份应缴纳房产税____万元。 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_tax_law_45,某企业于2020年2月以3000万元购得一宗土地，面积为1500平方米。在购地后，企业投入200万元进行土地开发，并在该土地上建造了一座建筑面积为800平方米的,FinEval_Accounting,tax_law,会计学大类,税法,房产税,计税依据与税率,concept,same_domain,,,multi_number_anchor_guard_missing,某企业于2020年2月以3000万元购得一宗土地，面积为1500平方米。在购地后，企业投入200万元进行土地开发，并在该土地上建造了一座建筑面积为800平方米的车间。根据房产税的计征规则，计入该车间计征房产税的房产原值中的地价为多少万元? 答案:A. 解析:正确选项A
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_2,企业存在不同的发展阶段，属于处于导入阶段的企业可以选择的财务战略是____。,FinEval_Accounting,corporate_strategy_and_risk_management,会计学大类,投资学,资产定价,风险收益与估值,concept,same_domain,,,multi_number_anchor_guard_missing,企业存在不同的发展阶段，属于处于导入阶段的企业可以选择的财务战略是____。 答案:C. 解析:1. 衰退期财务风险高，而经营风险低，股利全部分配给股东，股价呈下降并波动趋势。2. 成熟期财务风险和经营风险都是中等，股利分配率较高，资本结构为权益资本加债务资本。3. 导入期经营风险很高而财务风险很低，资本来源主要是风险资本，随着企业的发展股价迅速增长。4. 成长期经营风险高而财务风险低，权益资本在资本来源中所占的比重降低，股利分配率低，股价较高。
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_7,金融衍生品包括期权、期货、远期等，运用衍生产品进行风险管理需满足的条件不包括____。,FinEval_Accounting,corporate_strategy_and_risk_management,会计学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,contrast|prerequisite,,,negative_question_guard_missing,金融衍生品包括期权、期货、远期等，运用衍生产品进行风险管理需满足的条件不包括____。 答案:B. 解析:正确选项B
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_9,现有两个投资项目，W企业需要在二者中选择一个较好的投资计划，A计划投资为450万元，B计划投资为240万元，A、B投资计划的经营年限都是5年，销路好的概率均为0,FinEval_Accounting,corporate_strategy_and_risk_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,现有两个投资项目，W企业需要在二者中选择一个较好的投资计划，A计划投资为450万元，B计划投资为240万元，A、B投资计划的经营年限都是5年，销路好的概率均为0.7，销路差的概率均为0.3。在销路好、销路差年中，A计划的损益分别为300万元和-60万元；B计划的损益分别为120万元和30万元。经计算A计划的净收益值为510万元，B计划的净收益值为225万元，因为A计划的净收益值大于B计划的净收益值 答案:C. 解析:正确选项C
auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_10,下列各项中，不属于分析企业运营风险应收集的信息是____。,FinEval_Accounting,corporate_strategy_and_risk_management,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,contrast,,,negative_question_guard_missing,下列各项中，不属于分析企业运营风险应收集的信息是____。 答案:B. 解析:正确选项B
