subject,error_type,count,recommended_action,sample_ids,sample_terms
discrete_mathematics,no_retrieval_hit,1,add_language_trigger_and_subject_bridge,5,
electrical_engineer,no_retrieval_hit,1,add_language_trigger_and_subject_bridge,3,
electrical_engineer,low_confidence,1,add_examples_and_definition_clues,35,0m|cout|量程|安培|一般情况下
high_school_physics,low_confidence,1,add_examples_and_definition_clues,6,3F|cdot|供需、弹性与市场结构|这表明|合作
high_school_physics,calculation_unhandled,1,add_formula_parser_or_worked_example_card,17,max|不变|减小|下列说法中不正确的是|cdot
high_school_chemistry,calculation_unhandled,1,add_formula_parser_or_worked_example_card,11,rightleftharpoons|CH|Ba|frac|left
high_school_chemistry,low_confidence,1,add_examples_and_definition_clues,14,溶液|OH|Al|反应|70岁
high_school_chemistry,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,18,组织形式与治理|结构设计与协调|证据、保证与职业判断|证据、保证与职业判断|确认、计量与减值
high_school_biology,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,12,随机变量与分布|基本假设、要素与信息质量|证据、保证与职业判断|风险收益与估值|证据、保证与职业判断
middle_school_physics,calculation_unhandled,1,add_formula_parser_or_worked_example_card,0,产品制度与合规|基本假设、要素与信息质量|确认、计量与减值|基本假设、要素与信息质量|无套利定价与套保
middle_school_chemistry,calculation_unhandled,1,add_formula_parser_or_worked_example_card,11,cout|量程|0m|女性|安培
veterinary_medicine,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,7,2SiO|应纳税所得额与抵免|基本假设、要素与信息质量|组织形式与治理|货币政策与汇率利率
business_administration,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,10,确认、计量与减值|确认、计量与减值|确认、计量与减值|确认、计量与减值|确认、计量与减值
education_science,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,22,无套利定价与套保|货币政策与汇率利率|美育|智育|心境
teacher_qualification,no_retrieval_hit,1,add_language_trigger_and_subject_bridge,31,
high_school_politics,calculation_unhandled,1,add_formula_parser_or_worked_example_card,14,主机甲与主机乙之间已建立一个TCP连接|frac|0m|cdot|实事求是
high_school_geography,low_confidence,1,add_examples_and_definition_clues,8,半坡原始居民|指出|同时|拍摄|诊断
middle_school_politics,low_confidence,1,add_examples_and_definition_clues,2,促进社会公平正义|公平正义|发展|这说明|分析选项
middle_school_geography,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,4,水能宝库|黄金水道|长江|黄河|随机变量与分布
modern_chinese_history,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,8,自强|求富|组织形式与治理|结构设计与协调|正确的是
modern_chinese_history,low_confidence,1,add_examples_and_definition_clues,12,八七|孙中山
ideological_and_moral_cultivation,low_confidence,1,add_examples_and_definition_clues,7,信用、资本与流程监管|在晋绥干部会议上的讲话|集体主义|内部管理决策|以人为本
ideological_and_moral_cultivation,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,10,人与人|社会关系|风险收益与估值|风险收益与估值|信用、资本与流程监管
ideological_and_moral_cultivation,calculation_unhandled,1,add_formula_parser_or_worked_example_card,15,证据、保证与职业判断|唯物主义的|基本假设、要素与信息质量|战略选择与实施|放大镜
law,calculation_unhandled,1,add_formula_parser_or_worked_example_card,4,基本假设、要素与信息质量|基本假设、要素与信息质量|基本假设、要素与信息质量|信用、资本与流程监管|合并报表与特殊事项
art_studies,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,15,产品制度与合规|信用、资本与流程监管|基本假设、要素与信息质量|无套利定价与套保|产品制度与合规
professional_tour_guide,no_retrieval_hit,1,add_language_trigger_and_subject_bridge,1,
high_school_chinese,calculation_unhandled,1,add_formula_parser_or_worked_example_card,15,产品制度与合规|应纳税所得额与抵免|应纳税所得额与抵免|主体、交易与监管|基本假设、要素与信息质量
middle_school_history,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,21,家庭联产承包责任制|土地改革|人民公社化|农业合作化|资源配置与制度分析
civil_servant,calculation_unhandled,1,add_formula_parser_or_worked_example_card,24,num|0m|一般情况下|endl|特别锻炼观察和思考能力
civil_servant,low_confidence,1,add_examples_and_definition_clues,40,填入画横线部分最恰当的一项是|产品制度与合规|供需、弹性与市场结构|货币政策与汇率利率|现金流与资本成本
sports_science,negative_choice_misread,1,strengthen_negative_guard_and_contrast_peer,12,估计量与置信区间|产品制度与合规|下列说法错误的是|下列说法错误的是|下列说法错误的是
clinical_medicine,no_retrieval_hit,1,add_language_trigger_and_subject_bridge,16,
urban_and_rural_planner,low_confidence,1,add_examples_and_definition_clues,0,中华人民共和国固体废物污染环境防治法|合并报表与特殊事项|合并报表与特殊事项|证据、保证与职业判断|控制
accountant,low_confidence,1,add_examples_and_definition_clues,20,0m|一般情况下|额定功率|量程|frac
fire_engineer,low_confidence,1,add_examples_and_definition_clues,28,自然规律与模型|混合物|不正确的是|B2|B3
physician,calculation_unhandled,1,add_formula_parser_or_worked_example_card,41,票据行为与效力|基本假设、要素与信息质量|基本假设、要素与信息质量|信用风险与合规流程|产出、价格与政策传导
