subject,id,type,answer,c11_pred,c14_pred,A,B,C,D,question,top_routes,top_terms
clinical_medicine,20,concept_choice,C,C,B,棕色瘤,黄色瘤,绿色瘤,Wilms瘤,急性粒细胞性白血病时，瘤细胞在骨膜下浸润，聚集成肿块，称为____,ceval_seed.clinical_medicine.037.急性淋巴细胞性白血病|ceval_seed.metrology_engineer.003.称为|ceval_seed.middle_school_biology.003.不正确的是|ceval_seed.middle_school_biology.007.正确的是|ceval_seed.middle_school_biology.010.首先,急性淋巴细胞性白血病|称为|不正确的是|正确的是|首先
urban_and_rural_planner,6,negative_choice,A,A,B,社会经济规划,道路交通规划,绿化景观规划,市政规划,下列不属于村庄规划的具体内容的是____。,auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_75|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_Accounting_neurons_economic_law_22|auto_neuron_FinEval_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_neurons_economic_law_22,信用、资本与流程监管|产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界
urban_and_rural_planner,18,concept_choice,A,A,C,3,4,5,6,大修的城市道路竣工后____年内不得挖掘；因特殊情况需要挖掘的，须经县级以上城市人民政府批准。,manual_finance_central_bank_business_counterparties|ceval_seed.high_school_politics.001.这说明|ceval_seed.high_school_politics.010.分析选项|ceval_seed.high_school_politics.012.提出|ceval_seed.high_school_politics.025.首先,信用风险与合规流程|这说明|分析选项|提出|首先
urban_and_rural_planner,20,negative_choice,B,B,C,未编写有关环境影响的篇章或者说明的规划草案，审批机关不予审批,专项规划的编制机关在报批规划草案时，必须将环境影响登记表一并附送审批机关审查,专项规划的环境影响报告书应当包括环境影响评价的结论,规划有关环境影响的篇章或者说明，应当对规划实施后可能造成的环境影响作出分析、预测和评估,根据《中华人民共和国环境影响评价法》的规定，下列关于规划环境影响评价的内容和审批表述中不正确的是____,ceval_seed.environmental_impact_assessment_engineer.002.中华人民共和国环境影响评价法|ceval_seed.environmental_impact_assessment_engineer.004.中华人民共和国环境保护法|auto_neuron_FinEval_Accounting_neurons_economic_law_11|auto_neuron_FinEval_Accounting_neurons_economic_law_18|auto_neuron_FinEval_neurons_economic_law_11,中华人民共和国环境影响评价法|中华人民共和国环境保护法|确认、计量与减值|组织形式与治理|确认、计量与减值
accountant,1,concept_choice,C,C,B,转向战略,放弃战略,紧缩与集中战略,稳定战略,甲公司是国内一家领先的新媒体、通信及移动增值服务公司，由于遭受世界金融危机，甲公司经济利润严重下滑，经营面临困境，但为了稳定职工队伍，公司并未进行裁员，而是实行高层管理人员减薪措施。甲公司此举采用的收缩战略方式是____。,auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_3|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_3|manual_acc_nonmonetary_benefit_self_product|manual_fund_value_added_services|auto_neuron_FinEval_neurons_fund_qualification_certificate_60,战略选择与实施|战略选择与实施|征税范围、税率与抵扣|产品制度与合规|产品制度与合规
accountant,4,negative_choice,C,C,B,是一个循环往复的过程,需要修正原来的分析、选择与实施工作,是一次性的工作,要不断监控和评价战略的实施过程,关于战略管理表述错误的是____。,auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_42|manual_strategy_dispersed_equity_governance_risk|manual_strategy_cultural_management_response|manual_strategy_flexible_budget|manual_strategy_decision_tree_method,信用、资本与流程监管|战略选择与实施|战略选择与实施|战略选择与实施|战略选择与实施
fire_engineer,30,concept_choice,B,B,D,1人,2人,3人,4人,消防控制室实行每日24h专人值班制度，每班不少于____，值班人员持有规定的消防专业技能鉴定证书。,ceval_seed.fire_engineer.006.正确的是|manual_acc_step_acquisition_common_control_capital_reserve|manual_acc_consolidation|manual_audit_risk|ceval_seed.high_school_biology.007.控制,正确的是|合并报表与特殊事项|合并报表与特殊事项|证据、保证与职业判断|控制
environmental_impact_assessment_engineer,1,concept_choice,B,B,C,Ⅰ、Ⅱ、Ⅲ、Ⅳ、Ⅴ,Ⅰ、Ⅱ、Ⅲ、ⅣV/Ⅳ+,Ⅰ、Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅱ、Ⅲ,根据《建设项目环境风险评价技术导则》(HJ169—2018)，建设项目环境风险潜势划分为____级。,ceval_seed.environmental_impact_assessment_engineer.012.建设项目环境风险评价技术导则|ceval_seed.fire_engineer.001.0m|ceval_seed.high_school_biology.032.2n|ceval_seed.middle_school_chemistry.027.frac|ceval_seed.fire_engineer.024.8m,建设项目环境风险评价技术导则|0m|2n|frac|8m
environmental_impact_assessment_engineer,3,concept_choice,B,B,C,规划环境影响评价,建设项目环境影响评价,规划环境影响评价和建设项目环境影响评价,无需进行任何环境影响评价,根据《中华人民共和国环境影响评价法》，作为一项整体建设项目的某大型住宅小区，应进行____。,ceval_seed.environmental_impact_assessment_engineer.002.中华人民共和国环境影响评价法|ceval_seed.environmental_impact_assessment_engineer.004.中华人民共和国环境保护法|manual_fund_dividend_nav_effect|auto_neuron_FinEval_Accounting_neurons_intermediate_financial_accounting_22|auto_neuron_FinEval_neurons_intermediate_financial_accounting_22,中华人民共和国环境影响评价法|中华人民共和国环境保护法|产品制度与合规|应纳税所得额与抵免|应纳税所得额与抵免
environmental_impact_assessment_engineer,29,procedure_choice,B,B,A,召开听证会,不召开听证会,请示M市环保局,听从化工厂领导的意见,某环评机构在为位于M市某化工厂建设项目做环境影响评价的过程中，发现根据《中华人民共和国环境影响评价法》的规定在制作公众参与篇章时无须召开听证会，而根据《环境影响评价公众参与暂行办法》的规定须召开听证会，则应____。,ceval_seed.environmental_impact_assessment_engineer.002.中华人民共和国环境影响评价法|ceval_seed.environmental_impact_assessment_engineer.004.中华人民共和国环境保护法|auto_neuron_FinEval_Accounting_neurons_tax_law_14|auto_neuron_FinEval_Accounting_neurons_economic_law_19|auto_neuron_FinEval_neurons_certified_practising_accountant_36,中华人民共和国环境影响评价法|中华人民共和国环境保护法|应纳税所得额与抵免|组织形式与治理|纳税义务与征管
tax_accountant,5,concept_choice,D,D,B,房地产出租,房地产评估增值,房地产的代建房行为,合作建房后，建成后转让的,下列各项中，属于土地增值税征税范围的是____。,auto_neuron_FinEval_neurons_certified_practising_accountant_35|auto_neuron_FinEval_Accounting_neurons_economic_law_22|auto_neuron_FinEval_neurons_economic_law_22|auto_neuron_FinEval_neurons_tax_law_11|auto_neuron_FinEval_Accounting_neurons_accounting_12,征税范围、税率与抵扣|物的分类与权利边界|物的分类与权利边界|征税范围、税率与抵扣|基本假设、要素与信息质量
tax_accountant,32,concept_choice,B,B,C,丙只能按30%的比例分红,应按实缴注册资本80万元，由甲、乙、丙按各自的实际出资比例分红,由于丙违反出资义务，其他股东可通过决议取消其当年分红资格,丙有权按50%的比例分红，但应当承担未足额出资的违约责任,甲、乙、丙成立一家科贸有限公司，约定公司注册资本100万元，甲、乙、丙各按20%、30%、50%的比例出资。甲、乙缴足了出资，丙仅实缴30万元。公司章程对于红利分配没有特别约定。当年年底公司进行分红。对此，下列说法中正确的是____。,auto_neuron_FinEval_Accounting_neurons_accounting_6|auto_neuron_FinEval_neurons_accounting_6|ceval_seed.high_school_physics.024.下列说法中正确的是|ceval_seed.middle_school_physics.002.下列说法中正确的是|ceval_seed.middle_school_chemistry.041.下列说法中正确的是,模型估计与检验|确认、计量与减值|下列说法中正确的是|下列说法中正确的是|下列说法中正确的是
tax_accountant,43,concept_choice,D,D,B,金银首饰包装费不计入计税销售额,消费税计税销售额包括增值税,白酒包装物押金收取时不计入计税销售额,高档化妆品品牌使用费应计入计税销售额,关于消费税从价定率计税销售额，下列说法正确的是____。,auto_neuron_FinEval_Accounting_neurons_management_accounting_28|auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_38|auto_neuron_FinEval_neurons_management_accounting_28|auto_neuron_FinEval_neurons_public_finance_4|auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_21,确认与期间归属|组织、战略与决策|确认、计量与减值|应纳税所得额与抵免|产品制度与合规
physician,21,concept_choice,B,B,D,SigA与抗原组成的复合物,1个lgM与抗原组成的复合物,1个lgG与抗原组成的复合物,1个lgE与抗原组成的复合物,经典途径激活补体的抗原抗体复合物____,ceval_seed.college_chemistry.030.Br|ceval_seed.college_chemistry.041.Al|ceval_seed.middle_school_physics.045.关于光现象|ceval_seed.physician.002.IL,Br|Al|关于光现象|IL
physician,27,concept_choice,B,B,A,血清过敏性休克,接触性皮炎,类风湿性关节炎,新生儿溶血症,属于Ⅳ型超敏反应的疾病是____,auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_Accounting_neurons_economic_law_22|auto_neuron_FinEval_neurons_advanced_financial_accounting_4|auto_neuron_FinEval_neurons_economic_law_22|auto_neuron_FinEval_neurons_insurance_6,产品成本与成本管理|物的分类与权利边界|货币政策与汇率利率|物的分类与权利边界|风险度量与保费
physician,31,concept_choice,B,B,A,可再试用一年,注销注册，收回医师执业证书,在执业医师指导下从事执业活动,暂停执业活动三年,定期考核不合格的医师暂停执业活动期满，再次考核仍不合格的____,ceval_seed.mao_zedong_thought.003.一国两制|ceval_seed.mao_zedong_thought.023.和平统一,一国两制|和平统一
